canonical_player_id,canonical_name,transfermarkt_player_id,transfermarkt_name,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint
149,Boldizsár Bodor,13036,Boldizsár Bodor,1.0,1.0,1.0,1.0,exact_after_normalize
150,Adnane Tighadouini,185570,Adnane Tighadouini,1.0,1.0,1.0,1.0,exact_after_normalize
151,Anouar Hadouir,4533,Anouar Hadouir,1.0,1.0,1.0,1.0,exact_after_normalize
153,Mats Seuntjens,187809,Mats Seuntjens,1.0,1.0,1.0,1.0,exact_after_normalize
154,Peter Gommeren,228574,Peter Gommeren,1.0,1.0,1.0,1.0,exact_after_normalize
155,Kenny van der Weg,214326,Kenny van der Weg,1.0,1.0,1.0,1.0,exact_after_normalize
157,Gill Swerts,7970,Gill Swerts,1.0,1.0,1.0,1.0,exact_after_normalize
158,Sepp De Roover,30741,Sepp De Roover,1.0,1.0,1.0,1.0,exact_after_normalize
159,Henrico Drost,17313,Henrico Drost,1.0,1.0,1.0,1.0,exact_after_normalize
160,Jeffrey Sarpong,35529,Jeffrey Sarpong,1.0,1.0,1.0,1.0,exact_after_normalize
161,Danny Verbeek,99508,Danny Verbeek,1.0,1.0,1.0,1.0,exact_after_normalize
162,Kees Kwakman,7949,Kees Kwakman,1.0,1.0,1.0,1.0,exact_after_normalize
163,Uroš Matić,90885,Uros Matic,0.4667,1.0,1.0,1.0,exact_after_normalize
164,Marcel Stutter,45930,Marcel Stutter,1.0,1.0,1.0,1.0,exact_after_normalize
165,Navarone Foor,61612,Navarone Foor,1.0,1.0,1.0,1.0,exact_after_normalize
166,Jordy Tutuarima,187299,Jordy Tutuarima,1.0,1.0,1.0,1.0,exact_after_normalize
167,Jakob Jantscher,52269,Jakob Jantscher,1.0,1.0,1.0,1.0,exact_after_normalize
168,Geoffrey Castillion,84898,Geoffrey Castillion,1.0,1.0,1.0,1.0,exact_after_normalize
169,Danzell Gravenberch,186282,Danzell Gravenberch,1.0,1.0,1.0,1.0,exact_after_normalize
170,Marnick Vermijl,110798,Marnick Vermijl,1.0,1.0,1.0,1.0,exact_after_normalize
171,Youri Loen,153392,Youri Loen,1.0,1.0,1.0,1.0,exact_after_normalize
173,Dennis Gentenaar,4513,Dennis Gentenaar,1.0,1.0,1.0,1.0,exact_after_normalize
175,Lasse Nielsen,42913,Lasse Nielsen,1.0,1.0,1.0,1.0,exact_after_normalize
