fbref_name,whoscored_name,team,season_id,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
Dauda Mohammed,Mo Dauda,Vitesse,2018,0.5,0.7321,0.7273,0.7273,other,match,nickname
Ruben Yttergård Jenssen,Ruben Jenssen,Groningen,2016,0.5652,0.8823,0.7222,0.7222,given_and_surname_match_extra_middle_token,,
Ruben Yttergård Jenssen,Ruben Jenssen,Groningen,2017,0.5652,0.8823,0.7222,0.7222,given_and_surname_match_extra_middle_token,,
Enrico Dueñas,Enrico Dueñas Hernández,Vitesse,2020,0.5833,0.913,0.7222,0.7222,substring_match,match,Middle name
Maximilian Wöber,Max Wöber,Ajax,2017,0.5,0.8979,0.72,0.72,same_surname_diff_given_name,match,nickname
Maximilian Wöber,Max Wöber,Ajax,2018,0.5,0.8979,0.72,0.72,same_surname_diff_given_name,match,nickname
Philipp Max,Phillipp Mwene,PSV,2021,0.4211,0.8922,0.72,0.72,other,No match,same age but different birthday
Phillipp Mwene,Philipp Max,PSV,2021,0.4211,0.8922,0.72,0.72,other,No match,same age but different birthday
Philipp Max,Phillipp Mwene,PSV,2022,0.4211,0.8922,0.72,0.72,other,No match,same age but different birthday
Phillipp Mwene,Philipp Max,PSV,2022,0.4211,0.8922,0.72,0.72,other,No match,same age but different birthday
Jeroen Van der Lely,Jelle van der Heyden,Twente,2015,0.3667,0.8117,0.7179,0.7179,other,No match,Different ages
Jelle van der Heyden,Jeroen van der Lely,Twente,2015,0.3667,0.8117,0.7179,0.7179,other,No match,Different ages
Jelle van der Heyden,Jeroen van der Lely,Twente,2016,0.3667,0.8117,0.7179,0.7179,other,No match,Different ages
Jeroen Van der Lely,Jelle van der Heyden,Twente,2016,0.3667,0.8117,0.7179,0.7179,other,No match,Different ages
Jelle van der Heyden,Jeroen van der Lely,Twente,2017,0.3667,0.8117,0.7179,0.7179,other,No match,Different ages
Jeroen Van der Lely,Jelle van der Heyden,Twente,2017,0.3667,0.8117,0.7179,0.7179,other,No match,Different ages
Arian Kastrati,Arianit Ferati,Fortuna Sittard,2021,0.3636,0.8779,0.7143,0.7143,other,No match,Different ages
Andrija Novakovich,Andrija Balic,Fortuna Sittard,2018,0.32,0.8915,0.7097,0.7097,same_given_name_diff_surname,No match,same age but different birthday
Andrija Balić,Andrija Novakovich,Fortuna Sittard,2018,0.32,0.8915,0.7097,0.7097,same_given_name_diff_surname,No match,same age but different birthday
Lisandro Magallán,Lisandro Martínez,Ajax,2019,0.44,0.8824,0.7059,0.7059,same_given_name_diff_surname,No match,Different ages
Lisandro Magallán,Lisandro Martínez,Ajax,2021,0.44,0.8824,0.7059,0.7059,same_given_name_diff_surname,No match,Different ages
Roel Janssen,Simon Janssen,VVV Venlo,2018,0.4211,0.703,0.72,0.703,same_surname_diff_given_name,,
Simon Janssen,Roel Janssen,VVV Venlo,2018,0.4211,0.703,0.72,0.703,same_surname_diff_given_name,,
Roel Janssen,Simon Janssen,VVV Venlo,2019,0.4211,0.703,0.72,0.703,same_surname_diff_given_name,,
Simon Janssen,Roel Janssen,VVV Venlo,2019,0.4211,0.703,0.72,0.703,same_surname_diff_given_name,,
Ioannis-Foivos Botos,Giannis Botos,Go Ahead Eagles,2021,0.4167,0.7021,0.7273,0.7021,same_surname_diff_given_name,match,nickanme
Memphis,Memphis Depay,PSV,2013,0.5714,0.9077,0.7,0.7,substring_match,match,Added last name
Memphis,Memphis Depay,PSV,2014,0.5714,0.9077,0.7,0.7,substring_match,match,Added last name
Abass Issah,Issah Abass,Utrecht,2019,1.0,0.6932,1.0,0.6932,same_tokens_reordered,,
Abass Issah,Issah Abass,Twente,2020,1.0,0.6932,1.0,0.6932,same_tokens_reordered,match,Switched names
Dries Wuytens,Stijn Wuytens,Willem II,2014,0.4,0.8128,0.6923,0.6923,same_surname_diff_given_name,No match,Different ages
Stijn Wuytens,Dries Wuytens,Willem II,2014,0.4,0.8128,0.6923,0.6923,same_surname_diff_given_name,No match,Different ages
Dries Wuytens,Stijn Wuytens,Willem II,2015,0.4,0.8128,0.6923,0.6923,same_surname_diff_given_name,No match,Different ages
Stijn Wuytens,Dries Wuytens,Willem II,2015,0.4,0.8128,0.6923,0.6923,same_surname_diff_given_name,No match,Different ages
Sander Fischer,Sander Duits,Go Ahead Eagles,2016,0.35,0.8786,0.6923,0.6923,same_given_name_diff_surname,No match,Different ages
Sander Duits,Sander Fischer,Go Ahead Eagles,2016,0.35,0.8786,0.6923,0.6923,same_given_name_diff_surname,No match,Different ages
Mohammed Tahiri,Mohammed Osman,Sparta,2021,0.4091,0.8762,0.6897,0.6897,same_given_name_diff_surname,,
Lucas Oliveira Rosa,Lucas Rosa,Ajax,2024,0.55,0.8525,0.6897,0.6897,given_and_surname_match_extra_middle_token,match,Middle name
Lucas Oliveira Rosa,Lucas Rosa,Ajax,2025,0.55,0.8525,0.6897,0.6897,given_and_surname_match_extra_middle_token,match,Middle name
Mihai Roman,Mihai Alexandru Roman,NEC Nijmegen,2015,0.5455,0.8271,0.6875,0.6875,given_and_surname_match_extra_middle_token,match,Middle name
Vito van Crooij,Delano van Crooij,VVV Venlo,2017,0.5,0.7797,0.6875,0.6875,same_surname_diff_given_name,,
Vito van Crooij,Delano van Crooij,VVV Venlo,2020,0.5,0.7797,0.6875,0.6875,same_surname_diff_given_name,,
Francisco Reyes,Francisco Marizán,Volendam,2023,0.4167,0.8761,0.6875,0.6875,same_given_name_diff_surname,,
Pelle van Amersfoort,Pele van Anholt,Heerenveen,2014,0.3214,0.86,0.6857,0.6857,other,,
Pele van Anholt,Pelle van Amersfoort,Heerenveen,2014,0.3214,0.86,0.6857,0.6857,other,,
Thomas van den Belt,Rav van den Berg,PEC Zwolle,2020,0.3704,0.7661,0.6857,0.6857,other,,
Rav van den Berg,Thomas van den Belt,PEC Zwolle,2020,0.3704,0.7661,0.6857,0.6857,other,,
Thomas van den Belt,Rav van den Berg,PEC Zwolle,2021,0.3704,0.7661,0.6857,0.6857,other,,
Rav van den Berg,Thomas van den Belt,PEC Zwolle,2021,0.3704,0.7661,0.6857,0.6857,other,,
